Year;Month;Day;Weekday;Name
2013;2;18;Monday;Presidents Day
2013;1;21;Monday;Martin Luther King Jr. Day
2013;1;1;Tuesday;New Year's Day
2012;12;25;Tuesday;Christmas Day
2012;11;22;Thursday;Thanksgiving Day
2012;11;11;Sunday;Vetereans Day
2012;10;8;Monday;Columbus Day
2012;9;3;Monday;Labor Day
2012;7;4;Wednesday;Independence Day
2012;5;28;Monday;Memorial Day
2012;2;20;Monday;Presidents Day
2012;1;16;Monday;Martin Luther King Jr. Day
2012;1;1;Sunday;New Year's Day
2011;12;26;Monday;Christmas Day
2011;11;24;Thursday;Thanksgiving Day
2011;11;11;Friday;Vetereans Day
2011;10;10;Monday;Columbus Day
2011;9;5;Monday;Labor Day
